BestMCTS3;HQL\\_BOT;SOISMCTS;Sakkirin;ToT-BoT
 82.00; 72.31; 68.50; 25.04;  1.90
 81.97; 72.34; 68.52; 25.18;  1.88
 82.08; 72.17; 68.50; 25.16;  1.87
 82.18; 72.15; 68.34; 25.13;  1.86
 82.28; 71.98; 68.32; 25.11;  1.84
 82.30; 71.89; 68.31; 25.10;  1.83
 82.35; 71.92; 68.23; 25.11;  1.82
 82.39; 72.10; 68.07; 25.06;  1.81
 82.36; 72.12; 68.13; 25.00;  1.79
 82.48; 72.15; 68.05; 24.94;  1.78
 82.45; 72.26; 67.96; 24.96;  1.77
 82.34; 72.22; 68.10; 24.98;  1.76
 82.39; 72.19; 68.08; 25.00;  1.75
 82.43; 72.08; 68.14; 25.02;  1.74
 82.54; 72.12; 68.09; 25.07;  1.72
 82.65; 72.01; 68.17; 25.12;  1.70
 82.55; 72.12; 68.25; 25.17;  1.69
 82.59; 72.08; 68.33; 25.23;  1.67
 82.68; 71.86; 68.39; 25.21;  1.66
 82.69; 71.85; 68.31; 25.19;  1.65
 82.71; 71.77; 68.23; 25.24;  1.64
 82.86; 71.69; 68.09; 25.22;  1.63
 82.90; 71.78; 67.95; 25.24;  1.62
 83.00; 71.81; 67.87; 25.18;  1.61
 82.97; 71.90; 67.80; 25.20;  1.60
 83.07; 71.79; 67.79; 25.21;  1.59
 83.04; 71.83; 67.78; 25.23;  1.58
 83.07; 71.80; 67.77; 25.24;  1.57
 83.04; 71.83; 67.76; 25.26;  1.56
 82.95; 71.87; 67.82; 25.27;  1.56
 82.98; 71.90; 67.83; 25.32;  1.54
 83.02; 72.00; 67.78; 25.36;  1.53
 83.11; 71.97; 67.80; 25.41;  1.52
 83.15; 71.94; 67.88; 25.45;  1.50
 82.97; 71.99; 67.93; 25.44;  1.50
 82.98; 71.85; 67.99; 25.42;  1.49
 83.00; 71.84; 67.92; 25.40;  1.48
 83.07; 71.71; 67.91; 25.38;  1.47
 83.04; 71.79; 67.90; 25.33;  1.46
 83.07; 71.88; 67.84; 25.29;  1.46
 83.04; 71.96; 67.83; 25.24;  1.45
 83.02; 71.98; 67.88; 25.19;  1.44
 82.99; 72.01; 67.81; 25.27;  1.43
 83.02; 71.98; 67.81; 25.28;  1.42
 82.99; 72.01; 67.80; 25.29;  1.42
 82.97; 71.93; 67.91; 25.30;  1.41
 83.00; 71.90; 67.98; 25.35;  1.40
 83.08; 71.87; 67.99; 25.39;  1.39
 83.06; 71.96; 68.00; 25.43;  1.38
 83.09; 71.99; 68.01; 25.47;  1.37
 83.04; 72.03; 67.89; 25.51;  1.36
 83.11; 71.97; 67.83; 25.49;  1.35
 83.12; 71.90; 67.82; 25.48;  1.35
 83.02; 71.94; 67.82; 25.46;  1.34
 82.99; 71.96; 67.87; 25.42;  1.33
 82.97; 71.98; 67.92; 25.37;  1.33
 83.00; 72.06; 67.86; 25.33;  1.32
 83.03; 72.19; 67.74; 25.29;  1.31
 83.05; 72.16; 67.73; 25.30;  1.31
 82.98; 72.13; 67.83; 25.31;  1.30
 83.06; 72.05; 67.83; 25.32;  1.29
 83.03; 72.13; 67.77; 25.33;  1.29
 83.06; 72.16; 67.78; 25.37;  1.28
 83.03; 72.13; 67.89; 25.41;  1.27
 83.11; 72.11; 67.91; 25.45;  1.26
 83.14; 72.08; 67.97; 25.48;  1.25
 83.05; 72.07; 68.01; 25.47;  1.25
 83.11; 72.01; 67.96; 25.45;  1.24
 83.17; 71.95; 67.90; 25.44;  1.24
 83.23; 71.89; 67.84; 25.42;  1.23
 83.26; 71.86; 67.89; 25.38;  1.22
 83.23; 72.03; 67.78; 25.34;  1.22
 83.16; 72.04; 67.88; 25.30;  1.21
 83.13; 72.11; 67.87; 25.26;  1.21
 83.16; 72.09; 67.86; 25.27;  1.20
 83.14; 72.06; 67.91; 25.28;  1.20
 83.11; 72.04; 67.85; 25.39;  1.19
 83.14; 72.02; 67.84; 25.40;  1.19
 83.16; 72.04; 67.85; 25.44;  1.18
 83.09; 72.11; 67.91; 25.47;  1.17
 83.12; 72.14; 67.92; 25.51;  1.16
 83.09; 72.21; 67.93; 25.54;  1.16
 83.05; 72.25; 67.88; 25.53;  1.15
 83.11; 72.24; 67.78; 25.51;  1.15
 83.03; 72.27; 67.77; 25.50;  1.14
 83.04; 72.22; 67.77; 25.48;  1.14
 83.01; 72.28; 67.76; 25.45;  1.13
 82.99; 72.39; 67.71; 25.41;  1.13
 83.02; 72.45; 67.66; 25.37;  1.12
 83.04; 72.51; 67.61; 25.34;  1.12
 83.11; 72.53; 67.51; 25.35;  1.11
 83.04; 72.64; 67.46; 25.36;  1.11
 82.88; 72.67; 67.60; 25.36;  1.10
 82.86; 72.64; 67.64; 25.37;  1.10
 82.84; 72.66; 67.65; 25.45;  1.09
 82.87; 72.68; 67.66; 25.48;  1.09
 82.76; 72.75; 67.71; 25.56;  1.08
 82.78; 72.72; 67.77; 25.59;  1.07
 82.84; 72.67; 67.72; 25.58;  1.07
 82.85; 72.52; 67.76; 25.61;  1.07
 82.86; 72.51; 67.71; 25.60;  1.06
 82.91; 72.41; 67.71; 25.58;  1.06
 82.93; 72.38; 67.75; 25.55;  1.05
 82.96; 72.48; 67.65; 25.51;  1.05
 82.98; 72.54; 67.61; 25.48;  1.04
 83.00; 72.59; 67.56; 25.44;  1.04
 83.07; 72.61; 67.47; 25.45;  1.04
 83.05; 72.55; 67.55; 25.46;  1.03
 83.07; 72.48; 67.55; 25.51;  1.03
 82.97; 72.50; 67.58; 25.56;  1.02
 82.99; 72.48; 67.64; 25.59;  1.02
 83.05; 72.46; 67.61; 25.66;  1.01
 83.07; 72.44; 67.66; 25.69;  1.01
 83.06; 72.50; 67.67; 25.72;  1.00
 82.98; 72.49; 67.70; 25.71;  1.00
 82.95; 72.44; 67.74; 25.69;  0.99
 82.96; 72.43; 67.70; 25.68;  0.99
 83.05; 72.34; 67.65; 25.67;  0.99
 83.11; 72.35; 67.61; 25.63;  0.98
 83.09; 72.40; 67.60; 25.60;  0.98
 83.11; 72.42; 67.60; 25.57;  0.98
 83.13; 72.47; 67.56; 25.53;  0.97
 83.19; 72.41; 67.55; 25.54;  0.97
 83.21; 72.39; 67.55; 25.55;  0.97
 83.15; 72.37; 67.62; 25.56;  0.96
 83.10; 72.31; 67.74; 25.56;  0.96
 83.08; 72.29; 67.83; 25.59;  0.95
 83.10; 72.23; 67.87; 25.66;  0.95
 83.04; 72.21; 67.96; 25.73;  0.94
 83.02; 72.19; 68.05; 25.75;  0.94
 82.99; 72.18; 68.00; 25.78;  0.94
 82.96; 72.17; 68.00; 25.77;  0.93
 83.04; 72.05; 67.99; 25.75;  0.93
 82.98; 72.04; 68.03; 25.74;  0.93
 83.00; 72.09; 67.98; 25.71;  0.92
 83.02; 72.18; 67.90; 25.68;  0.92
 83.07; 72.23; 67.82; 25.65;  0.92
 83.13; 72.21; 67.82; 25.62;  0.91
 83.11; 72.15; 67.85; 25.66;  0.91
 83.02; 72.17; 67.92; 25.67;  0.91
 83.00; 72.15; 67.95; 25.67;  0.90
 82.95; 72.09; 68.06; 25.68;  0.90
 82.97; 72.04; 68.14; 25.71;  0.90
 82.99; 72.02; 68.19; 25.73;  0.89
 83.01; 72.00; 68.19; 25.79;  0.89
 82.99; 72.02; 68.24; 25.82;  0.88
 83.00; 71.90; 68.27; 25.84;  0.88
 82.97; 71.93; 68.22; 25.83;  0.88
 82.98; 71.89; 68.22; 25.82;  0.88
 82.98; 71.92; 68.11; 25.84;  0.87
 83.00; 71.97; 68.07; 25.81;  0.87
 82.95; 72.05; 68.06; 25.78;  0.87
 82.97; 72.07; 68.06; 25.75;  0.86
 82.99; 72.08; 68.05; 25.72;  0.86
 83.01; 72.06; 68.05; 25.73;  0.86
 82.96; 72.12; 68.04; 25.74;  0.86
 82.90; 72.10; 68.10; 25.74;  0.85
 82.92; 72.15; 68.03; 25.75;  0.85
 82.98; 72.17; 68.00; 25.77;  0.85
 82.96; 72.19; 68.04; 25.80;  0.84
 82.98; 72.17; 68.08; 25.82;  0.84
 83.00; 72.12; 68.12; 25.88;  0.83
 83.00; 72.08; 68.12; 25.87;  0.83
 83.05; 72.07; 68.05; 25.85;  0.83
 82.98; 72.10; 68.04; 25.84;  0.83
 82.99; 72.05; 68.04; 25.83;  0.82
 83.01; 72.10; 68.00; 25.80;  0.82
 82.96; 72.15; 68.03; 25.77;  0.82
 82.98; 72.12; 68.06; 25.75;  0.82
 82.96; 72.20; 68.02; 25.72;  0.81
 82.98; 72.15; 68.05; 25.72;  0.81
 82.93; 72.20; 68.04; 25.73;  0.81
 82.92; 72.22; 68.04; 25.74;  0.81
 82.90; 72.24; 68.00; 25.77;  0.80
 82.92; 72.22; 68.04; 25.80;  0.80
 82.90; 72.20; 68.07; 25.79;  0.86
 82.85; 72.22; 68.14; 25.81;  0.86
 82.84; 72.20; 68.18; 25.86;  0.86
 82.87; 72.16; 68.13; 25.85;  0.85
 82.85; 72.12; 68.10; 25.84;  0.92
 82.76; 72.15; 68.12; 25.83;  0.92
 82.80; 72.08; 68.12; 25.82;  0.91
 82.82; 72.06; 68.08; 25.76;  1.01
 82.80; 72.10; 68.05; 25.67;  1.10
 82.79; 72.11; 68.00; 25.64;  1.16
 82.77; 72.12; 68.00; 25.65;  1.16
 82.76; 72.11; 67.93; 25.56;  1.35
 82.74; 72.09; 67.95; 25.54;  1.35
 82.76; 72.08; 67.95; 25.45;  1.44
 82.75; 72.06; 67.98; 25.46;  1.43
 82.73; 72.07; 68.01; 25.48;  1.43
 82.72; 72.08; 68.05; 25.50;  1.42
 82.74; 72.10; 68.03; 25.47;  1.48
 82.79; 72.08; 68.00; 25.46;  1.54
 82.76; 72.07; 68.00; 25.45;  1.53
 82.80; 72.00; 67.99; 25.44;  1.53
 82.78; 72.00; 67.99; 25.43;  1.52
 82.75; 72.05; 67.89; 25.39;  1.58
 82.77; 72.12; 67.83; 25.37;  1.58
 82.82; 72.13; 67.79; 25.35;  1.57
 82.80; 72.21; 67.76; 25.32;  1.57
 82.79; 72.19; 67.76; 25.24;  1.66
 82.81; 72.20; 67.72; 25.25;  1.65
 82.76; 72.22; 67.72; 25.29;  1.65
 82.75; 72.20; 67.75; 25.29;  1.64
 82.68; 72.25; 67.77; 25.30;  1.64
 82.66; 72.25; 67.81; 25.26;  1.69
 82.68; 72.24; 67.85; 25.28;  1.69
 82.70; 72.25; 67.85; 25.31;  1.68
 82.68; 72.27; 67.89; 25.33;  1.67
 82.66; 72.26; 67.88; 25.26;  1.73
 82.73; 72.16; 67.82; 25.19;  1.84
 82.68; 72.21; 67.79; 25.18;  1.84
 82.62; 72.26; 67.76; 25.18;  1.83
 82.61; 72.30; 67.75; 25.13;  1.83
 82.63; 72.34; 67.72; 25.11;  1.83
 82.62; 72.40; 67.69; 25.09;  1.82
 82.60; 72.41; 67.72; 25.07;  1.82
 82.65; 72.36; 67.67; 25.04;  1.87
 82.64; 72.38; 67.64; 25.00;  1.92
 82.62; 72.39; 67.64; 24.95;  1.98
 82.64; 72.41; 67.61; 24.94;  1.97
 82.65; 72.39; 67.58; 24.87;  2.11
 82.67; 72.40; 67.59; 24.86;  2.13
 82.71; 72.42; 67.57; 24.81;  2.18
 82.70; 72.46; 67.58; 24.77;  2.23
 82.64; 72.48; 67.57; 24.77;  2.23
 82.59; 72.45; 67.60; 24.70;  2.31
 82.57; 72.38; 67.65; 24.65;  2.33
 82.52; 72.38; 67.64; 24.58;  2.41
 82.48; 72.44; 67.64; 24.56;  2.40
 82.47; 72.42; 67.67; 24.50;  2.45
 82.46; 72.46; 67.61; 24.45;  2.53
 82.45; 72.50; 67.58; 24.38;  2.58
 82.41; 72.54; 67.57; 24.39;  2.57
 82.40; 72.55; 67.57; 24.40;  2.57
 82.41; 72.53; 67.53; 24.35;  2.65
 82.43; 72.52; 67.50; 24.30;  2.72
 82.39; 72.51; 67.59; 24.33;  2.71
 82.44; 72.49; 67.60; 24.35;  2.70
 82.42; 72.50; 67.63; 24.37;  2.69
 82.44; 72.49; 67.64; 24.37;  2.71
 82.39; 72.48; 67.66; 24.37;  2.71
 82.37; 72.48; 67.66; 24.36;  2.70
 82.41; 72.44; 67.63; 24.36;  2.69
 82.44; 72.41; 67.60; 24.35;  2.69
 82.49; 72.36; 67.63; 24.33;  2.68
 82.47; 72.32; 67.68; 24.34;  2.67
 82.44; 72.38; 67.67; 24.32;  2.67
 82.42; 72.42; 67.67; 24.31;  2.66
 82.41; 72.38; 67.72; 24.31;  2.65
 82.43; 72.39; 67.67; 24.35;  2.65
 82.39; 72.40; 67.69; 24.36;  2.64
 82.41; 72.39; 67.69; 24.37;  2.63
 82.45; 72.37; 67.69; 24.39;  2.63
 82.46; 72.33; 67.70; 24.46;  2.62
 82.48; 72.29; 67.73; 24.51;  2.61
 82.49; 72.31; 67.74; 24.53;  2.60
 82.50; 72.30; 67.71; 24.52;  2.59
 82.43; 72.32; 67.71; 24.54;  2.59
 82.41; 72.34; 67.68; 24.54;  2.58
 82.39; 72.34; 67.67; 24.53;  2.57
 82.38; 72.32; 67.70; 24.54;  2.57
 82.35; 72.38; 67.70; 24.52;  2.56
 82.29; 72.41; 67.74; 24.51;  2.56
 82.27; 72.44; 67.74; 24.49;  2.55
 82.24; 72.48; 67.74; 24.50;  2.54
 82.28; 72.47; 67.71; 24.50;  2.54
