BeamSearchBot;BestMCTS3;BestMCTS5;CamelCaseBot;DecisionTreeBot;MCTSBot;MaxPrestigeBot;RandomSimulationBot
 51.63; 83.00; 83.09; 50.45; 49.91; 51.90;  1.90; 28.12
 51.70; 82.95; 83.04; 50.36; 50.00; 51.88;  1.88; 28.21
 51.68; 82.89; 83.07; 50.44; 50.09; 51.68;  1.85; 28.31
 51.66; 82.93; 83.19; 50.52; 50.09; 51.66;  1.92; 28.05
 51.72; 82.96; 83.13; 50.43; 50.00; 51.64;  1.89; 28.23
 51.62; 82.99; 83.16; 50.51; 50.00; 51.70;  1.87; 28.15
 51.60; 83.11; 83.19; 50.67; 50.00; 51.51;  1.85; 28.07
 51.50; 82.97; 83.31; 50.75; 50.00; 51.66;  1.83; 27.99
 51.48; 82.84; 83.33; 50.57; 50.08; 51.72;  1.81; 28.16
 51.38; 82.95; 83.44; 50.41; 50.08; 51.79;  1.79; 28.17
 51.28; 83.07; 83.55; 50.40; 50.00; 51.61;  1.77; 28.33
 51.27; 83.10; 83.49; 50.56; 50.00; 51.59;  1.75; 28.25
 51.26; 83.05; 83.44; 50.39; 49.92; 51.57;  1.73; 28.65
 51.24; 83.07; 83.62; 50.39; 50.00; 51.40;  1.71; 28.57
 51.23; 83.18; 83.72; 50.46; 49.85; 51.23;  1.69; 28.65
 51.14; 83.13; 83.81; 50.53; 49.70; 51.52;  1.67; 28.50
 51.13; 83.08; 83.76; 50.60; 49.62; 51.50;  1.65; 28.65
 50.97; 83.11; 83.93; 50.60; 49.63; 51.49;  1.64; 28.65
 50.88; 83.14; 84.09; 50.66; 49.71; 51.33;  1.69; 28.50
 50.87; 83.24; 84.11; 50.66; 49.78; 51.31;  1.68; 28.35
 50.94; 83.19; 84.13; 50.58; 49.64; 51.44;  1.80; 28.28
 50.79; 83.29; 84.21; 50.64; 49.71; 51.43;  1.86; 28.07
 50.64; 83.38; 84.30; 50.71; 49.79; 51.34;  1.91; 27.93
 50.56; 83.40; 84.24; 50.70; 49.72; 51.54;  1.89; 27.94
 50.49; 83.29; 84.26; 50.49; 49.72; 51.60;  1.87; 28.29
 50.48; 83.38; 84.34; 50.41; 49.73; 51.51;  1.85; 28.30
 50.34; 83.47; 84.35; 50.34; 49.73; 51.43;  1.84; 28.50
 50.34; 83.49; 84.30; 50.47; 49.80; 51.42;  1.82; 28.37
 50.20; 83.44; 84.25; 50.33; 50.00; 51.40;  1.80; 28.57
 50.13; 83.60; 84.19; 50.26; 50.20; 51.32;  1.79; 28.51
 50.00; 83.68; 84.14; 50.46; 50.20; 51.25;  1.83; 28.44
 49.81; 83.70; 84.22; 50.45; 50.19; 51.43;  1.82; 28.38
 49.81; 83.66; 84.23; 50.39; 50.19; 51.42;  1.80; 28.51
 49.74; 83.67; 84.31; 50.32; 50.26; 51.47;  1.79; 28.44
 49.68; 83.82; 84.32; 50.32; 50.19; 51.33;  1.77; 28.57
 49.56; 83.83; 84.40; 50.38; 50.31; 51.32;  1.75; 28.45
 49.57; 83.79; 84.35; 50.37; 50.25; 51.37;  1.74; 28.57
 49.51; 83.81; 84.36; 50.31; 50.31; 51.48;  1.79; 28.45
 49.45; 83.88; 84.43; 50.37; 50.31; 51.40;  1.77; 28.39
 49.52; 83.84; 84.38; 50.42; 50.36; 51.45;  1.76; 28.27
 49.46; 83.79; 84.39; 50.30; 50.48; 51.44;  1.74; 28.39
 49.46; 83.87; 84.35; 50.30; 50.65; 51.37;  1.73; 28.27
 49.47; 83.94; 84.24; 50.41; 50.77; 51.30;  1.77; 28.10
 49.36; 84.02; 84.31; 50.47; 50.76; 51.23;  1.76; 28.10
 49.36; 84.09; 84.32; 50.46; 50.75; 51.28;  1.74; 27.99
 49.37; 84.10; 84.16; 50.46; 50.86; 51.32;  1.73; 28.00
 49.37; 84.23; 84.17; 50.46; 50.91; 51.26;  1.71; 27.89
 49.32; 84.24; 84.24; 50.51; 50.85; 51.25;  1.70; 27.89
 49.27; 84.25; 84.31; 50.45; 50.90; 51.35;  1.69; 27.78
 49.16; 84.26; 84.26; 50.45; 51.00; 51.28;  1.79; 27.79
 49.17; 84.22; 84.33; 50.50; 51.05; 51.22;  1.77; 27.74
 48.96; 84.34; 84.34; 50.60; 51.15; 51.10;  1.76; 27.75
 48.96; 84.35; 84.35; 50.65; 51.09; 51.15;  1.74; 27.70
 49.03; 84.42; 84.25; 50.54; 51.14; 51.14;  1.79; 27.71
 49.14; 84.43; 84.10; 50.64; 51.24; 51.07;  1.77; 27.60
 49.15; 84.49; 84.17; 50.69; 51.28; 50.96;  1.76; 27.51
 49.15; 84.50; 84.18; 50.58; 51.27; 51.11;  1.75; 27.46
 49.11; 84.51; 84.19; 50.47; 51.42; 51.10;  1.73; 27.47
 49.06; 84.41; 84.31; 50.52; 51.51; 51.04;  1.72; 27.42
 49.02; 84.42; 84.42; 50.52; 51.55; 50.98;  1.76; 27.33
 49.08; 84.38; 84.43; 50.51; 51.49; 51.13;  1.75; 27.24
 49.08; 84.39; 84.49; 50.41; 51.48; 51.12;  1.73; 27.30
 49.14; 84.40; 84.50; 50.41; 51.42; 51.17;  1.72; 27.25
 49.04; 84.41; 84.56; 50.45; 51.46; 51.11;  1.71; 27.26
 49.00; 84.37; 84.62; 50.45; 51.50; 51.20;  1.70; 27.17
 48.96; 84.38; 84.57; 50.40; 51.54; 51.29;  1.74; 27.13
 49.01; 84.33; 84.53; 50.44; 51.53; 51.28;  1.72; 27.14
 48.97; 84.39; 84.59; 50.49; 51.57; 51.17;  1.76; 27.05
 48.98; 84.40; 84.60; 50.49; 51.51; 51.21;  1.75; 27.07
 48.99; 84.36; 84.60; 50.43; 51.59; 51.21;  1.74; 27.08
 48.99; 84.32; 84.71; 50.43; 51.63; 51.15;  1.73; 27.04
 49.00; 84.33; 84.76; 50.48; 51.67; 51.05;  1.71; 27.00
 49.05; 84.44; 84.67; 50.47; 51.66; 51.09;  1.70; 26.92
 49.11; 84.40; 84.68; 50.42; 51.69; 51.08;  1.69; 26.93
 49.25; 84.36; 84.69; 50.37; 51.73; 51.03;  1.73; 26.84
 49.21; 84.42; 84.74; 50.37; 51.81; 50.88;  1.72; 26.86
 49.31; 84.42; 84.75; 50.37; 51.80; 50.83;  1.71; 26.82
 49.36; 84.48; 84.71; 50.32; 51.79; 50.82;  1.69; 26.83
 49.32; 84.44; 84.80; 50.45; 51.73; 50.73;  1.68; 26.84
 49.23; 84.45; 84.90; 50.50; 51.81; 50.63;  1.67; 26.81
 49.28; 84.46; 84.91; 50.54; 51.75; 50.63;  1.66; 26.77
 49.38; 84.38; 84.91; 50.58; 51.70; 50.67;  1.65; 26.74
 49.25; 84.38; 84.96; 50.53; 51.73; 50.71;  1.64; 26.80
 49.16; 84.39; 84.92; 50.53; 51.76; 50.84;  1.72; 26.68
 49.26; 84.40; 84.97; 50.39; 51.67; 50.88;  1.71; 26.73
 49.30; 84.36; 85.02; 50.39; 51.66; 50.87;  1.74; 26.66
 49.26; 84.33; 85.06; 50.35; 51.69; 50.91;  1.73; 26.67
 49.23; 84.29; 85.07; 50.22; 51.68; 51.08;  1.72; 26.72
 49.36; 84.30; 85.07; 50.13; 51.75; 51.03;  1.71; 26.65
 49.36; 84.35; 84.99; 50.13; 51.70; 51.15;  1.74; 26.57
 49.41; 84.32; 85.08; 50.08; 51.56; 51.14;  1.78; 26.63
 49.33; 84.33; 85.08; 50.00; 51.55; 51.26;  1.76; 26.68
 49.33; 84.34; 85.09; 49.96; 51.55; 51.34;  1.75; 26.65
 49.38; 84.30; 85.05; 49.88; 51.58; 51.45;  1.74; 26.62
 49.34; 84.27; 85.05; 49.83; 51.61; 51.53;  1.73; 26.63
 49.26; 84.20; 85.10; 49.79; 51.64; 51.64;  1.72; 26.64
 49.31; 84.24; 85.10; 49.76; 51.59; 51.71;  1.76; 26.53
 49.43; 84.13; 85.11; 49.76; 51.54; 51.75;  1.75; 26.54
 49.44; 84.14; 85.11; 49.76; 51.53; 51.74;  1.78; 26.51
 49.36; 84.11; 85.11; 49.60; 51.61; 51.85;  1.77; 26.61
 49.32; 84.12; 85.16; 49.56; 51.60; 51.88;  1.80; 26.58
 49.37; 84.05; 85.16; 49.56; 51.59; 51.94;  1.83; 26.51
 49.37; 84.14; 85.08; 49.53; 51.54; 52.01;  1.82; 26.52
 49.29; 84.11; 85.13; 49.49; 51.45; 52.16;  1.81; 26.57
 49.38; 84.07; 85.17; 49.38; 51.52; 52.11;  1.80; 26.58
 49.46; 84.05; 85.13; 49.34; 51.51; 52.17;  1.82; 26.51
 49.46; 84.09; 85.14; 49.31; 51.39; 52.16;  1.81; 26.64
 49.35; 84.06; 85.22; 49.23; 51.46; 52.19;  1.84; 26.65
 49.39; 84.11; 85.22; 49.16; 51.41; 52.18;  1.87; 26.66
 49.51; 84.08; 85.18; 49.16; 51.41; 52.20;  1.86; 26.60
 49.58; 84.13; 85.15; 49.13; 51.40; 52.15;  1.89; 26.57
 49.51; 84.10; 85.23; 49.10; 51.35; 52.22;  1.92; 26.58
 49.55; 84.07; 85.27; 48.99; 51.31; 52.32;  1.91; 26.59
 49.67; 84.08; 85.19; 49.00; 51.26; 52.38;  1.90; 26.53
 49.67; 84.09; 85.23; 48.96; 51.30; 52.29;  1.89; 26.57
 49.67; 84.06; 85.24; 48.97; 51.25; 52.38;  1.88; 26.53
 49.82; 83.99; 85.27; 48.94; 51.25; 52.36;  1.87; 26.47
 49.82; 83.93; 85.24; 48.98; 51.24; 52.39;  1.86; 26.51
 49.82; 83.90; 85.24; 48.91; 51.23; 52.48;  1.85; 26.52
 49.78; 83.98; 85.25; 48.85; 51.26; 52.47;  1.84; 26.53
 49.89; 83.96; 85.18; 48.82; 51.26; 52.57;  1.87; 26.44
 49.89; 83.92; 85.17; 48.78; 51.22; 52.49;  1.86; 26.46
 49.82; 83.93; 85.14; 48.76; 51.17; 52.65;  1.85; 26.47
 49.86; 83.93; 85.17; 48.80; 51.13; 52.64;  1.88; 26.38
 49.89; 83.91; 85.14; 48.70; 51.16; 52.70;  1.87; 26.42
 49.93; 83.91; 85.15; 48.66; 51.13; 52.66;  1.87; 26.41
 49.93; 83.93; 85.13; 48.65; 51.07; 52.60;  1.87; 26.38
       BeamSearchBot            BestMCTS3 wins= 18.78% errs=  0.00% alls=205
       BeamSearchBot            BestMCTS5 wins= 20.78% errs=  0.00% alls=204
       BeamSearchBot         CamelCaseBot wins= 44.01% errs=  0.00% alls=204
       BeamSearchBot      DecisionTreeBot wins= 50.25% errs=  0.00% alls=204
       BeamSearchBot              MCTSBot wins= 37.01% errs=  0.00% alls=204
       BeamSearchBot       MaxPrestigeBot wins=100.00% errs=  0.00% alls=203
       BeamSearchBot  RandomSimulationBot wins= 79.12% errs=  0.00% alls=203
           BestMCTS3        BeamSearchBot wins= 81.22% errs=  0.00% alls=205
           BestMCTS3            BestMCTS5 wins= 44.74% errs=  0.00% alls=204
           BestMCTS3         CamelCaseBot wins= 97.56% errs=  0.00% alls=204
           BestMCTS3      DecisionTreeBot wins= 94.36% errs=  0.00% alls=204
           BestMCTS3              MCTSBot wins= 77.94% errs=  0.00% alls=204
           BestMCTS3       MaxPrestigeBot wins=100.00% errs=  0.00% alls=203
           BestMCTS3  RandomSimulationBot wins= 91.87% errs=  0.00% alls=203
           BestMCTS5        BeamSearchBot wins= 79.22% errs=  0.00% alls=204
           BestMCTS5            BestMCTS3 wins= 55.26% errs=  0.00% alls=204
           BestMCTS5         CamelCaseBot wins= 96.56% errs=  0.00% alls=203
           BestMCTS5      DecisionTreeBot wins= 93.12% errs=  0.00% alls=203
           BestMCTS5              MCTSBot wins= 81.33% errs=  0.25% alls=203
           BestMCTS5       MaxPrestigeBot wins= 99.51% errs=  0.00% alls=203
           BestMCTS5  RandomSimulationBot wins= 91.13% errs=  0.00% alls=203
        CamelCaseBot        BeamSearchBot wins= 55.99% errs=  0.00% alls=204
        CamelCaseBot            BestMCTS3 wins=  2.44% errs=  0.00% alls=204
        CamelCaseBot            BestMCTS5 wins=  3.44% errs=  0.00% alls=203
        CamelCaseBot      DecisionTreeBot wins= 46.06% errs=  0.00% alls=203
        CamelCaseBot              MCTSBot wins= 56.40% errs=  0.00% alls=203
        CamelCaseBot       MaxPrestigeBot wins=100.00% errs=  0.00% alls=202
        CamelCaseBot  RandomSimulationBot wins= 76.79% errs=  0.00% alls=202
     DecisionTreeBot        BeamSearchBot wins= 49.75% errs=  0.00% alls=204
